,명칭,도로명,위도,경도
0,명동 눈스퀘어,서울시 중구 명동길 14,37.5634327,126.9828804
1,트윈트리타워,서울시 종로구 율곡로 6,37.5754403,126.9797454
2,성동공고,서울시 중구 다산로 290,37.5689290,127.0172325
3,SC제일은행 본점,서울시 종로구 종로 47,37.5710815,126.9824821
4,오라카이 스위츠,서울시 종로구 인사동 4길 18,37.5729910,126.9873794
5,센트럴플레이스,서울시 중구 서소문로 50,37.5608743,126.9670084
6,오피시아,서울시 종로구 새문안로 92,37.5697325,126.9749335
7,영등포 주차장,서울시 영등포구 영등포동4가 442-2,37.5161202,126.9029600
8,RAK사당,서울시 동작구 동작대로 59,37.4820097,126.9814984
9,선릉역 대우아이빌 주차장,서울시 강남구 테헤란로 64길 9,37.5044976,127.0516310
10,대치타워 주차장,서울시 강남구 테헤란로 424,37.5054984,127.0534885
11,골든타워,서울시 강남구 삼성로 511,37.5076711,127.0555980
